Mangrovihabitans_endophyticus	Unknown
Clostridioides_difficile	Unknown
Zunongwangia_atlantica	Unknown
Cyclobacterium_marinum	Unknown
Streptomyces_capitiformicae	Unknown
Streptomyces_longispororuber	Unknown
Candidatus_Allobutyricicoccus	Unknown
Actinobacillus_sp	Unknown
Hymenobacter_lapidiphilus	Unknown
Corynebacterium_fournieri	Unknown
Microbacterium_algeriense	Unknown
Curtobacterium_sp	Unknown
Subsaximicrobium_wynnwilliamsii	Unknown
Psychrobacter_frigidicola	Unknown
Cerasibacillus_sp	Unknown
Nocardioides_rubriscoriae	Unknown
Oceanobacillus_polygoni	Unknown
Streptomyces_coeruleorubidus	Unknown
Microbacterium_karelineae	Unknown
Borreliella_turdi	Unknown
Corallococcus_aberystwythensis	Unknown
Micromonospora_orduensis	Unknown
Marinitenerispora_sediminis	Unknown
Chryseobacterium_timonianum	Unknown
Clostridium_tarantellae	Unknown
Cumulibacter_manganitolerans	Unknown
Aquibacillus_halophilus	Unknown
Lysinibacillus_capsici	Unknown
Arundinibacter_roseus	Unknown
Rhodophyticola_porphyridii	Unknown
Bacillus_natronophilus	Unknown
Fulvivirga_kasyanovii	Unknown
Catellatospora_vulcania	Unknown
Nocardioides_silvaticus	Unknown
Helicobacter_burdigaliensis	Unknown
Tsukamurella_sputi	Unknown
Weissella_fabalis	Unknown
Lentzea_alba	Unknown
Streptomyces_aquilus	Unknown
Deinococcus_alpinitundrae	Unknown
Sphingomonas_solaris	Unknown
Pseudoxanthomonas_koreensis	Unknown
Nocardioides_gansuensis	Unknown
Mycolicibacterium_sarraceniae	Unknown
Mycolicibacterium_arabiense	Unknown
Thiorhodococcus_mannitoliphagus	Unknown
Nakamurella_flava	Unknown
Glaciecola_amylolytica	Unknown
Pelagibius_litoralis	Unknown
Roseomonas_frigidaquae	Unknown
Oleiagrimonas_citrea	Unknown
Aromatoleum_bremense	Unknown
Fluviibacterium_sp	Unknown
Pandoraea_eparura	Unknown
Streptomyces_fulvorobeus	Unknown
Leptothrix_sp	Unknown
Lysinibacillus_antri	Unknown
Parasphingopyxis_algicola	Unknown
Nocardiopsis_deserti	Unknown
Alkalihalobacillus_oshimensis	Unknown
Chthonobacter_sp	Unknown
Cognatishimia_activa	Unknown
Peribacillus_simplex	Unknown
Rhizobium_wenxiniae	Unknown
Streptomyces_haliclonae	Unknown
Martelella_radicis	Unknown
Microbacterium_halotolerans	Unknown
Streptococcus_ruminantium	Unknown
Negativibacillus_sp	Unknown
Pseudodesulfovibrio_sp	Unknown
Arcobacter_cryaerophilus	Unknown
Maribacter_vaceletii	Unknown
Alkalispirillum_mobile	Unknown
Haloimpatiens_massiliensis	Unknown
Leadbetterella_byssophila	Unknown
Leucobacter_sp	Unknown
Leuconostoc_fallax	Unknown
Marmoricola_pocheonensis	Unknown
Lysobacter_antibioticus	Unknown
Marinobacter_santoriniensis	Unknown
Methylobacterium_radiotolerans	Unknown
Microlunatus_phosphovorus	Unknown
Mangrovicoccus_ximenensis	Unknown
Mycobacterium_intracellulare	Unknown
Mycoplasma_alligatoris	Unknown
Mycoplasma_anatis	Unknown
Mycoplasma_canis	Unknown
Mycoplasma_cloacale	Unknown
Mycoplasma_leonicaptivi	Unknown
Mycoplasma_lipofaciens	Unknown
Mycoplasma_salivarium	Unknown
Gluconobacter_wancherniae	Unknown
Deferrisoma_camini	Unknown
Desulfitobacterium_sp	Unknown
Desulfosporosinus_sp	Unknown
Pandoraea_fibrosis	Unknown
Pseudoclavibacter_endophyticus	Unknown
Chrysanthemum_coronarium	Unknown
Elioraea_rosea	Unknown
Streptomyces_sioyaensis	Unknown
Fundicoccus_ignavus	Unknown
Oricola_cellulosilytica	Unknown
Cricetibacter_osteomyelitidis	Unknown
Biostraticola_tofi	Unknown
Muricomes_intestini	Unknown
Tepidibacillus_fermentans	Unknown
Macrococcus_bovicus	Unknown
Flavobacterium_cheniae	Unknown
Alterileibacterium_massiliense	Unknown
Leptospira_noumeaensis	Unknown
Leptospira_bandrabouensis	Unknown
Massilia_umbonata	Unknown
Sphingosinicella_soli	Unknown
Microbispora_catharanthi	Unknown
Geomonas_soli	Unknown
Corallococcus_exiguus	Unknown
Candidatus_Thermokryptus	Unknown
Tessaracoccus_timonensis	Unknown
Enteractinococcus_coprophilus	Unknown
Pseudonocardia_kunmingensis	Unknown
Paracoccus_marinus	Unknown
Aliishimia_ponticola	Unknown
Desulfovibrio_indonesiensis	Unknown
Lentzea_sp	Unknown
Puniceibacterium_confluentis	Unknown
Superficieibacter_electus	Unknown
Pseudarthrobacter_enclensis	Unknown
Acidiphilium_sp	Unknown
Acinetobacter_beijerinckii	Unknown
Ehrlichia_muris	Unknown
Alicyclobacillus_acidoterrestris	Unknown
Desulfovibrio_putealis	Unknown
Citrobacter_youngae	Unknown
Actinomyces_bouchesdurhonensis	Unknown
Elizabethkingia_meningoseptica	Unknown
Enterobacter_hormaechei	Unknown
Enterococcus_casseliflavus	Unknown
Desulfovibrio_sp	Unknown
Candidatus_Izimaplasma	Unknown
Gayadomonas_joobiniege	Unknown
Pantoea_wallisii	Unknown
Gottschalkia_acidurici	Unknown
Halobacillus_sp	Unknown
Helicobacter_bizzozeronii	Unknown
Isosphaera_pallida	Unknown
Johnsonella_ignava	Unknown
Komagataeibacter_kakiaceti	Unknown
Mesorhizobium_sp	Unknown
Lactobacillus_malefermentans	Unknown
Rufibacter_quisquiliarum	Unknown
Pedosphaera_parvula	Unknown
Peptoniphilus_harei	Unknown
Pediococcus_sp	Unknown
Peptoniphilus_timonensis	Unknown
Phascolarctobacterium_succinatutens	Unknown
Photobacterium_damselae	Unknown
Photobacterium_profundum	Unknown
Pilimelia_anulata	Unknown
Planktothrix_prolifica	Unknown
Polaromonas_naphthalenivorans	Unknown
Porphyromonas_crevioricanis	Unknown
Porphyromonas_gingivicanis	Unknown
Prevotella_albensis	Unknown
Prevotella_copri	Unknown
Prevotella_dentalis	Unknown
Prevotella_melaninogenica	Unknown
Prevotella_pallens	Unknown
Promicromonospora_sukumoe	Unknown
Pseudaminobacter_salicylatoxidans	Unknown
Pseudoalteromonas_citrea	Unknown
Pseudoalteromonas_piscicida	Unknown
Pseudogulbenkiania_ferrooxidans	Unknown
Pseudogulbenkiania_sp	Unknown
Pseudomonas_avellanae	Unknown
